0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"PUNE,",MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,
1,468,31,578,61,283,91,60,121,238,151,-2,181,367,211,186,241,70,271,235,,,,,,,,,,,
2,168,32,225,62,77,92,173,122,499,152,179,182,90,212,180,242,512,272,65,,,,,,,,,,,
3,228,33,335,63,300,93,262,123,95,153,688,183,494,213,20,243,155,273,16,,,,,,,,,,,
4,187,34,159,64,74,94,359,124,233,154,652,184,31,214,715,244,40,274,93,,,,,,,,,,,
5,95,35,211,65,127,95,604,125,126,155,385,185,546,215,176,245,218,275,68,,,,,,,,,,,
6,496,36,121,66,415,96,479,126,55,156,205,186,336,216,64,246,59,276,317,,,,,,,,,,,
7,408,37,456,67,94,97,331,127,37,157,89,187,67,217,102,247,32,277,69,,,,,,,,,,,
8,269,38,130,68,213,98,50,128,387,158,152,188,423,218,47,248,55,278,535,,,,,,,,,,,
9,161,39,571,69,122,99,676,129,63,159,476,189,70,219,175,249,39,279,550,,,,,,,,,,,
10,236,40,28,70,198,100,146,130,82,160,524,190,163,220,355,250,270,280,523,,,,,,,,,,,
11,552,41,105,71,104,101,468,131,275,161,105,191,146,221,54,251,425,281,71,,,,,,,,,,,
12,67,42,73,72,383,102,151,132,126,162,140,192,194,222,189,252,146,282,400,,,,,,,,,,,
13,192,43,132,73,157,103,297,133,445,163,41,193,159,223,430,253,556,283,131,,,,,,,,,,,
14,156,44,407,74,146,104,595,134,47,164,208,194,172,224,185,254,115,284,191,,,,,,,,,,,
15,645,45,35,75,115,105,157,135,50,165,246,195,109,225,114,255,100,285,271,,,,,,,,,,,
16,319,46,338,76,364,106,620,136,224,166,543,196,397,226,103,256,484,286,99,,,,,,,,,,,
17,134,47,24,77,361,107,487,137,78,167,465,197,340,227,648,257,165,287,249,,,,,,,,,,,
18,148,48,690,78,268,108,55,138,451,168,580,198,173,228,144,258,149,288,355,,,,,,,,,,,
19,148,49,181,79,166,109,394,139,461,169,299,199,261,229,113,259,51,289,-4,,,,,,,,,,,
20,160,50,376,80,28,110,374,140,145,170,115,200,424,230,537,260,122,290,90,,,,,,,,,,,
21,79,51,165,81,140,111,314,141,120,171,133,201,423,231,35,261,67,291,174,,,,,,,,,,,
22,70,52,142,82,15,112,331,142,313,172,39,202,164,232,187,262,245,292,127,,,,,,,,,,,
23,187,53,226,83,70,113,569,143,564,173,72,203,60,233,106,263,151,293,89,,,,,,,,,,,
24,353,54,66,84,116,114,40,144,137,174,145,204,622,234,46,264,37,294,334,,,,,,,,,,,
25,207,55,217,85,573,115,130,145,131,175,32,205,559,235,84,265,205,295,175,,,,,,,,,,,
26,135,56,60,86,96,116,408,146,147,176,121,206,31,236,70,266,652,296,40,,,,,,,,,,,
27,46,57,179,87,156,117,135,147,266,177,179,207,86,237,385,267,350,297,68,,,,,,,,,,,
28,303,58,58,88,114,118,61,148,236,178,177,208,233,238,463,268,64,298,59,,,,,,,,,,,
