0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,85,31,154,61,85,91,584,121,46,151,178,181,156
2,432,32,278,62,554,92,163,122,242,152,0,182,255
3,286,33,109,63,139,93,110,123,240,153,139,183,286
4,50,34,289,64,534,94,186,124,398,154,624,184,377
5,10,35,100,65,24,95,295,125,153,155,118,185,113
6,97,36,50,66,204,96,79,126,73,156,32,186,115
7,110,37,85,67,120,97,118,127,200,157,90,187,632
8,187,38,134,68,185,98,337,128,422,158,66,188,73
9,201,39,125,69,537,99,289,129,5,159,200,189,119
10,429,40,69,70,143,100,153,130,140,160,195,190,162
11,86,41,293,71,355,101,86,131,553,161,20,191,214
12,164,42,161,72,114,102,351,132,125,162,243,,
13,83,43,437,73,36,103,112,133,299,163,262,,
14,287,44,53,74,99,104,132,134,56,164,247,,
15,126,45,192,75,73,105,147,135,13,165,101,,
16,156,46,312,76,169,106,172,136,111,166,117,,
17,185,47,251,77,36,107,142,137,166,167,90,,
18,99,48,225,78,160,108,50,138,85,168,651,,
19,327,49,165,79,77,109,276,139,35,169,537,,
20,101,50,593,80,261,110,282,140,56,170,119,,
21,99,51,310,81,243,111,106,141,39,171,291,,
22,206,52,150,82,210,112,306,142,159,172,97,,
23,166,53,234,83,535,113,71,143,88,173,84,,
24,57,54,135,84,87,114,113,144,211,174,177,,
25,5,55,257,85,143,115,146,145,538,175,263,,
26,75,56,245,86,204,116,85,146,136,176,99,,
27,358,57,208,87,481,117,130,147,93,177,141,,
28,311,58,172,88,115,118,303,148,28,178,63,,
29,601,59,220,89,405,119,151,149,86,179,324,,
30,155,60,134,90,695,120,478,150,321,180,449,,
