0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,102,31,267,61,347,91,487,121,260
2,60,32,80,62,354,92,329,122,265
3,82,33,34,63,119,93,207,123,55
4,153,34,192,64,407,94,40,124,167
5,80,35,72,65,106,95,36,125,90
6,274,36,84,66,62,96,109,126,0
7,77,37,35,67,35,97,51,127,135
8,371,38,259,68,50,98,55,128,172
9,34,39,208,69,32,99,82,129,349
10,223,40,473,70,149,100,84,130,61
11,106,41,-5,71,81,101,116,131,129
12,141,42,71,72,39,102,136,132,127
13,55,43,399,73,89,103,40,,
14,128,44,129,74,244,104,115,,
15,1,45,79,75,65,105,391,,
16,170,46,85,76,521,106,165,,
17,30,47,180,77,131,107,603,,
18,131,48,120,78,104,108,96,,
19,510,49,98,79,196,109,383,,
20,151,50,106,80,167,110,156,,
21,78,51,173,81,124,111,55,,
22,125,52,190,82,61,112,109,,
23,585,53,45,83,-30,113,53,,
24,215,54,84,84,107,114,33,,
25,90,55,113,85,138,115,140,,
26,115,56,83,86,40,116,40,,
27,112,57,284,87,59,117,60,,
28,231,58,156,88,577,118,285,,
29,547,59,110,89,135,119,101,,
30,76,60,60,90,60,120,198,,
